rank,CpG_index,importance,importance_scaled
1,376150,1199.791,5.827806e-05
2,17908,1127.173,5.475073e-05
3,82918,1093.243,5.310263e-05
4,86287,1045.454,5.078137e-05
5,15856,1029.556,5.000912e-05
6,51194,997.9951,4.847612e-05
7,84576,971.2424,4.717665e-05
8,1074,960.4308,4.665149e-05
9,141619,944.961,4.590007e-05
10,324566,938.5446,4.55884e-05
11,527105,938.4726,4.558491e-05
12,55084,935.7525,4.545278e-05
13,191066,935.0403,4.541819e-05
14,123078,931.2827,4.523567e-05
15,141742,930.9699,4.522047e-05
16,101305,920.6841,4.472086e-05
17,91805,920.5975,4.471665e-05
18,90133,909.1959,4.416283e-05
19,100465,907.7853,4.409431e-05
20,2417,907.6556,4.408802e-05
21,124115,907.136,4.406278e-05
22,2057,905.6187,4.398908e-05
23,131282,901.4515,4.378666e-05
24,2320,893.4844,4.339967e-05
25,571147,893.2529,4.338843e-05
26,55970,893.1034,4.338117e-05
27,50251,872.8144,4.239566e-05
28,71781,872.0491,4.235848e-05
29,458515,871.6537,4.233928e-05
30,35408,868.4636,4.218432e-05
31,65638,861.8436,4.186277e-05
32,121702,858.8306,4.171642e-05
33,12773,849.3326,4.125506e-05
34,45345,843.9865,4.099538e-05
35,69494,843.2094,4.095764e-05
36,70984,841.8436,4.08913e-05
37,566354,840.6605,4.083383e-05
38,30471,840.0098,4.080222e-05
39,690025,835.3369,4.057524e-05
40,298141,835.0189,4.05598e-05
41,133567,828.0952,4.022349e-05
42,76606,825.7438,4.010927e-05
43,24659,819.3774,3.980003e-05
44,499868,817.4782,3.970779e-05
45,535697,816.0736,3.963956e-05
46,75491,813.7607,3.952721e-05
47,53674,813.5661,3.951776e-05
48,71239,812.4602,3.946404e-05
49,93661,812.3361,3.945801e-05
50,59373,811.3076,3.940805e-05
51,45690,811.2883,3.940712e-05
52,35137,811.0984,3.93979e-05
53,355629,810.0439,3.934667e-05
54,463984,808.3423,3.926402e-05
55,602003,808.2958,3.926176e-05
56,8281,805.3653,3.911942e-05
57,107633,803.5588,3.903167e-05
58,43132,800.7448,3.889498e-05
59,85606,800.2285,3.88699e-05
60,85167,793.4755,3.854189e-05
61,132787,793.2991,3.853332e-05
62,560328,790.7216,3.840812e-05
63,421662,790.4927,3.8397e-05
64,342460,789.7697,3.836188e-05
65,575410,784.4171,3.810189e-05
66,715960,783.816,3.807269e-05
67,15866,782.6577,3.801643e-05
68,94443,782.6115,3.801418e-05
69,813732,782.347,3.800134e-05
70,71770,782.1695,3.799272e-05
71,756108,781.8834,3.797882e-05
72,126697,780.2823,3.790105e-05
73,43888,780.1833,3.789624e-05
74,39128,778.058,3.779301e-05
75,47453,776.5005,3.771735e-05
76,136203,774.2051,3.760586e-05
77,101614,773.6886,3.758077e-05
78,45001,772.2771,3.751221e-05
79,19201,771.1907,3.745943e-05
80,286788,770.5067,3.742621e-05
81,122030,769.9521,3.739927e-05
82,117039,769.9256,3.739799e-05
83,854856,768.9855,3.735233e-05
84,29886,767.4211,3.727634e-05
85,77281,765.6033,3.718804e-05
86,232553,763.9158,3.710607e-05
87,452735,763.7208,3.70966e-05
88,429262,762.4237,3.703359e-05
89,52825,762.0617,3.701601e-05
90,51930,761.856,3.700602e-05
91,108458,761.8409,3.700529e-05
92,33711,760.501,3.69402e-05
93,46661,760.0256,3.691711e-05
94,92447,759.1204,3.687314e-05
95,7087,757.5132,3.679507e-05
96,244250,755.9236,3.671786e-05
97,687698,755.6418,3.670417e-05
98,133466,753.8615,3.66177e-05
99,432604,753.7824,3.661386e-05
100,59731,753.2576,3.658836e-05
101,104954,750.7386,3.646601e-05
102,366826,750.7247,3.646533e-05
103,133256,750.2116,3.644041e-05
104,72651,750.1089,3.643542e-05
105,541983,749.6608,3.641366e-05
106,24421,747.0389,3.62863e-05
107,131853,746.2211,3.624658e-05
108,6159,745.6617,3.62194e-05
109,41064,744.9932,3.618693e-05
110,614319,744.9351,3.618411e-05
111,15735,744.7867,3.61769e-05
112,7349,744.3832,3.61573e-05
113,421036,743.8548,3.613164e-05
114,122893,742.8635,3.608349e-05
115,474761,742.0912,3.604597e-05
116,217015,741.9355,3.603841e-05
117,16749,741.9018,3.603677e-05
118,532603,740.6943,3.597812e-05
119,85120,740.6887,3.597785e-05
120,836733,740.536,3.597043e-05
121,15874,739.3025,3.591051e-05
122,852203,739.0892,3.590015e-05
123,68256,738.7579,3.588406e-05
124,35315,738.7263,3.588253e-05
125,13743,738.1443,3.585426e-05
126,601326,738.0968,3.585195e-05
127,71609,737.9963,3.584707e-05
128,33389,737.4303,3.581958e-05
129,22939,737.3911,3.581767e-05
130,85145,737.3288,3.581465e-05
131,12196,736.508,3.577478e-05
132,665093,736.243,3.57619e-05
133,22955,735.2712,3.57147e-05
134,124817,735.1068,3.570671e-05
135,264037,734.5561,3.567996e-05
136,5210,731.8156,3.554685e-05
137,720039,731.7661,3.554445e-05
138,111946,730.3655,3.547642e-05
139,130362,730.2336,3.547001e-05
140,118533,728.8897,3.540473e-05
141,34121,726.9439,3.531022e-05
142,112900,726.8535,3.530582e-05
143,173810,725.8183,3.525554e-05
144,50397,725.4435,3.523734e-05
145,123113,725.3285,3.523175e-05
146,4759,724.9761,3.521463e-05
147,136855,724.7909,3.520564e-05
148,33937,724.4587,3.51895e-05
149,10363,724.0793,3.517107e-05
150,80460,723.4966,3.514277e-05
151,270248,723.3409,3.513521e-05
152,448407,722.2436,3.508191e-05
153,317505,722.0573,3.507286e-05
154,89137,721.1401,3.50283e-05
155,111699,721.0255,3.502273e-05
156,351600,720.9039,3.501683e-05
157,593861,720.8695,3.501516e-05
158,419008,720.8682,3.501509e-05
159,428386,720.3152,3.498824e-05
160,606760,719.9744,3.497168e-05
161,42429,719.7618,3.496136e-05
162,136920,719.2871,3.49383e-05
