rank,CpG_index,importance,importance_scaled
1,376150,416.7793,3.819815e-05
2,112694,387.1531,3.548289e-05
3,118906,386.6345,3.543535e-05
4,15104,367.5292,3.368434e-05
5,103927,350.91,3.216118e-05
6,30587,349.6228,3.20432e-05
7,109417,340.5891,3.121525e-05
8,80843,339.3762,3.110409e-05
9,99378,336.665,3.085561e-05
10,5210,334.7851,3.068331e-05
11,22554,330.7643,3.03148e-05
12,457217,330.5198,3.02924e-05
13,504796,324.5791,2.974793e-05
14,661830,324.0784,2.970204e-05
15,208227,321.7255,2.948639e-05
16,43558,320.7015,2.939255e-05
17,555933,313.5205,2.87344e-05
18,118758,312.075,2.860191e-05
19,236035,310.9954,2.850297e-05
20,44445,307.654,2.819673e-05
21,14918,306.6687,2.810642e-05
22,100537,303.6986,2.783422e-05
23,23299,303.5839,2.78237e-05
24,208760,303.2528,2.779335e-05
25,426486,302.1279,2.769026e-05
26,54715,301.5085,2.763348e-05
27,63713,301.4575,2.762881e-05
28,708307,297.5872,2.72741e-05
29,530403,297.2743,2.724542e-05
30,49787,296.4527,2.717012e-05
31,25146,295.884,2.7118e-05
32,10097,295.6301,2.709473e-05
33,61315,295.4581,2.707897e-05
34,88362,294.3456,2.6977e-05
35,89135,293.5973,2.690842e-05
36,566354,292.9389,2.684808e-05
37,74421,292.9058,2.684505e-05
38,285666,289.9008,2.656964e-05
39,263861,287.692,2.63672e-05
40,74843,286.3875,2.624764e-05
41,293553,286.2996,2.623958e-05
42,614310,285.5676,2.617249e-05
43,77640,282.7052,2.591015e-05
44,103120,279.9593,2.565849e-05
45,379198,279.4824,2.561478e-05
46,206252,279.1128,2.558091e-05
47,178584,276.1217,2.530677e-05
48,36614,276.0713,2.530215e-05
49,755734,274.9167,2.519633e-05
50,32747,271.8159,2.491214e-05
51,419314,270.9276,2.483072e-05
52,340723,270.6647,2.480663e-05
53,378469,270.3376,2.477665e-05
54,63951,269.796,2.472702e-05
55,389468,268.6668,2.462352e-05
56,102299,268.4935,2.460764e-05
57,242936,267.9008,2.455331e-05
58,533080,266.8511,2.445711e-05
59,53907,266.2487,2.44019e-05
60,700335,265.7044,2.435202e-05
61,14279,265.0464,2.429171e-05
62,7228,265.0443,2.429152e-05
63,239111,264.6236,2.425296e-05
64,791193,264.6031,2.425108e-05
65,294918,263.6912,2.416751e-05
66,276399,263.0709,2.411066e-05
67,426999,262.7175,2.407826e-05
68,162476,261.6357,2.397911e-05
69,55129,261.3634,2.395416e-05
70,727298,261.0948,2.392954e-05
71,746259,260.6185,2.388589e-05
72,57270,260.5241,2.387724e-05
73,773020,260.2489,2.385202e-05
74,809285,260.105,2.383883e-05
75,12196,259.9678,2.382625e-05
76,61586,259.8295,2.381358e-05
77,308337,259.7968,2.381058e-05
78,562187,259.7644,2.380761e-05
79,629292,259.6561,2.379769e-05
80,111699,259.3051,2.376551e-05
81,313887,258.7086,2.371084e-05
82,607943,258.2945,2.367289e-05
83,132588,258.239,2.366781e-05
84,13723,258.1062,2.365563e-05
85,860520,257.9773,2.364382e-05
86,65299,257.8748,2.363443e-05
87,505314,257.571,2.360659e-05
88,701748,257.1769,2.357046e-05
89,460548,257.1301,2.356618e-05
90,101823,256.7411,2.353053e-05
91,731003,256.4055,2.349977e-05
92,552421,256.3422,2.349397e-05
93,681659,256.0943,2.347124e-05
94,339885,255.4578,2.341291e-05
95,70011,254.7905,2.335175e-05
96,519554,254.4147,2.331731e-05
97,379524,254.1342,2.329159e-05
98,57106,253.8337,2.326406e-05
99,112108,253.3499,2.321972e-05
100,398383,253.0901,2.319591e-05
101,801256,253.04,2.319132e-05
102,105482,252.8439,2.317334e-05
103,310513,252.025,2.309829e-05
104,18637,251.9351,2.309005e-05
105,45789,251.8348,2.308085e-05
106,75314,251.3017,2.3032e-05
107,318340,251.2323,2.302563e-05
108,116605,250.7195,2.297863e-05
109,68070,250.7167,2.297838e-05
110,701617,250.0398,2.291634e-05
111,592777,249.5972,2.287578e-05
112,67299,249.3826,2.285611e-05
113,558851,249.2876,2.28474e-05
114,152199,248.9706,2.281835e-05
115,257551,248.5255,2.277755e-05
116,532519,248.5016,2.277537e-05
117,474761,248.1511,2.274324e-05
118,147767,248.1257,2.274092e-05
119,108417,248.114,2.273984e-05
120,446774,247.9412,2.272401e-05
121,709761,247.3586,2.267061e-05
122,756139,246.9744,2.263539e-05
123,370859,246.8479,2.262381e-05
124,591564,246.8371,2.262281e-05
125,105090,246.4425,2.258665e-05
126,384806,245.7582,2.252393e-05
127,796589,245.6136,2.251068e-05
128,50509,245.4214,2.249307e-05
129,413964,245.3652,2.248791e-05
130,91142,245.3077,2.248264e-05
131,320483,245.2752,2.247967e-05
132,47119,244.625,2.242008e-05
133,248390,244.5679,2.241484e-05
134,802619,243.3241,2.230084e-05
135,371207,243.274,2.229625e-05
136,585214,242.9363,2.22653e-05
137,423233,242.37,2.22134e-05
138,75332,241.3434,2.211931e-05
139,664788,241.296,2.211497e-05
140,51709,241.1867,2.210494e-05
141,534028,241.1156,2.209844e-05
142,22078,240.7572,2.206558e-05
